Old Index,Date,Sample String,Station,New Index,New Date,New Sample String,New Station
Old76,62716,06.27.16_0mA,CB33C,,,,
Old77,62716,06.27.16_0mB,CB33C,,,,
Old78,62716,06.27.16_1m,CB33C,,,,
Old79,62716,06.27.16_1m FIL,CB33C,,,,
Old80,62716,06.27.16_2m,CB33C,,,,
Old81,62716,06.27.16_4m,CB33C,,,,
Old82,62716,06.27.16_6m,CB33C,,,,
Old83,62716,06.27.16_8m,CB33C,,,,
Old84,62716,06.27.16_10m,CB33C,,,,
Old85,62716,06.27.16_12m,CB33C,,,,
Old86,62716,06.27.16_12m UF,CB33C,,,,
Old87,62716,06.27.16_14m,CB33C,,,,
Old88,62716,06.27.16_16m,CB33C,,,,
Old89,62716,06.27.16_18m,CB33C,,,,
Old90,62716,06.27.16_20m,CB33C,,,,
Old91,62716,06.27.16_21m,CB33C,,,,
Old92,62716,06.27.16_SB,CB33C,,,,
Old93,62716,06.27.16_EB,CB33C,,,,
Old143,71116,071116_CB2.2(1),CB22,New0,71316,7.13.16 CB 2.2(1),CB22
Old144,71116,071116_CB2.2(2),CB22,New1,71316,7.13.16 CB 2.2(2),CB22
Old145,71116,071116_CB3.1(A),CB31,,,,
Old146,71116,071116_CB3.2,CB32,,,,
Old147,71116,071116_CB3.3C,CB33C,New70,71216,7.12.16 CB 3.3 C,CB33C
Old148,71116,071116_CB4.1C ,CB41C,New85,71216,7.12.16 CB 4.1C,CB41C
Old149,71116,071116_CB4.2C,CB42C,,,,
Old150,71116,071116_CB4.3C,CB43C,New89,71216,7.12.16 CB 4.3C,CB43C
Old151,71116,071116_CB4.4,CB44,New8,71116,7.11.16 CB 4.4,CB44
Old152,71116,071116_CB5.1,CB51,NS2,71116,7.11.16 CB 5.1,CB51
Old153,71116,071116_CB5.2,CB52,New11,71116,7.11.16 CB 5.2,CB52
Old154,71116,071116_CB5.3(1),CB53,NS15,71116,7.11.16 CB 5.3-1,CB53
Old155,71116,071116_CB5.3(2),CB53,New13,71116,7.11.16 CB 5.3-2,CB53
Old156,71116,071116_CB5.4(2),CB54,New17,71116,7.11.16 CB 5.4-2,CB54
Old157,71116,071116_CB5.4,CB54,New18,71116,7.11.16 CB 5.4-1,CB54
Old158,71116,071116_CB6.1,CB61,,,,
Old159,71116,071116_CB6.1 (2),CB61,NS16,71116,7.11.16 CB 6.1-2,CB61
Old160,71116,071116_CB6.2,CB62,,,,
Old161,71116,071116_CB6.2 (2),CB62,,,,
Old162,71116,071116_CB6.3 (2),CB63,New29,71116,7.11.16 CB 6.3-2,CB63
Old163,71116,071116_CB6.3,CB63,New30,71116,7.11.16 CB 6.3-1,CB63
Old164,71116,071116_CB6.4 (2),CB64,,,,
Old165,71116,071116_CB6.4,CB64,New33,71116,7.11.16 CB 6.4-1,CB64
Old166,71116,071116_CB7.1,CB71,NS8,,7.11.16 CB 7.2-2,CB72
Old167,71116,071116_CB7.1 (2),CB71,,,,
Old168,71116,071116_CB7.2,CB72,New40,71116,7.11.16 CB 7.2-1,CB72
Old169,71116,071116_CB7.2 (2),CB72,,,,
Old170,71116,071116_CB7.3,CB73,,,,
Old171,71116,071116_CB7.3 (2),CB73,NS6,71116,7.11.16 CB 7.3-2,CB73
Old172,71116,071116_CB7.4,CB74,,,,
Old173,71116,071116_CB7.4 (2),CB74,New44,71116,7.11.16 CB 7.4-2,CB74
Old94,72516,07.25.16_0mA,CB33C,New79,72516,7.25.16 BB 0mA,CB33C
Old95,72516,07.25.16_0mB,CB33C,New76,72516,7.25.16 BB 0mB,CB33C
Old96,72516,07.25.16_0mA_FIL,CB33C,,,,
Old97,72516,07.25.16_1m,CB33C,,,,
Old98,72516,07.25.16_2m,CB33C,,,,
Old99,72516,07.25.16_3m,CB33C,,,,
Old100,72516,07.25.16_4m,CB33C,New72,72516,7.25.16 BB 4m,CB33C
Old101,72516,07.25.16_4m UF,CB33C,New71,72516,7.25.16 BB 4m UF,CB33C
Old102,72516,07.25.16_5m,CB33C,,,,
Old103,72516,07.25.16_6m,CB33C,,,,
Old104,72516,07.25.16_6m UF,CB33C,New77,72516,7.25.16 BB 6 (F),CB33C
Old105,72516,07.25.16_7m,CB33C,,,,
Old106,72516,07.25.16_8m,CB33C,,,,
Old107,72516,07.25.16_9m,CB33C,,,,
Old108,72516,07.25.16_10m,CB33C,,,,
Old109,72516,07.25.16_11m,CB33C,,,,
Old110,72516,07.25.16_12m,CB33C,NS22,72516,7.25.16 BB 12m,CB33C
Old111,72516,07.25.16_13m,CB33C,,,,
Old112,72516,07.25.16_14m,CB33C,New75,72516,7.25.16 BB 14m,CB33C
Old113,72516,07.25.16_15m,CB33C,,,,
Old114,72516,07.25.16_16m,CB33C,New74,72516,7.25.16 BB 16m,CB33C
Old115,72516,07.25.16_16m UF,CB33C,,,,
Old116,72516,07.25.16_17m,CB33C,,,,
