MonitoringStation	EventId	Cruise	Program	Project	Agency	Source	Station	SampleDate	SampleTime	TotalDepth	UpperPycnocline	LowerPycnocline	Depth	Layer	SampleType	SampleReplicateType	Parameter	Qualifier	MeasureValue	Unit	Method	Lab	Problem	PrecisionPC	BiasPC	Details	Latitude	Longitude
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	0.5	S 	D	FS1	CHLA		7.47600	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	0.5	S 	D	FS2	CHLA		7.47600	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	3	AP	D	S1	CHLA		6.94200	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	11	B 	D	S1	CHLA		4.53900	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	6	BP	D	S1	CHLA		4.53900	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	0.5	S 	D	FS1	CHLA		26.48600	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	0.5	S 	D	FS2	CHLA		25.41800	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	4	AP	D	S1	CHLA		8.97100	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	11	B 	D	S1	CHLA		6.62200	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	7	BP	D	S1	CHLA		5.98100	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/2016	10:03:00	12	2.50	2.50	0.5	S 	D	FS1	CHLA		7.90300	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/2016	10:03:00	12	2.50	2.50	0.5	S 	D	FS2	CHLA		8.11700	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/2016	10:03:00	12	2.50	2.50	1	AP	D	S1	CHLA		7.90300	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/2016	10:03:00	12	2.50	2.50	11	B 	D	S1	CHLA		4.91300	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/2016	10:03:00	12	2.50	2.50	4	BP	D	S1	CHLA		4.48600	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/2016	10:06:00	12.5	0.70	5.50	0.5	S 	D	FS1	CHLA		4.69900	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/2016	10:06:00	12.5	0.70	5.50	0.5	S 	D	FS2	CHLA		5.12600	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/2016	10:06:00	12.5	0.70	5.50	0.5	AP	D	S1	CHLA		5.12600	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/2016	10:06:00	12.5	0.70	5.50	11	B 	D	S1	CHLA		2.56300	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/2016	10:06:00	12.5	0.70	5.50	7	BP	D	S1	CHLA		3.20400	UG/L	L01 	CBL					39.34873	-76.17579
