Station	StationDescription		CBSeg2003Description	State	CountyCity	Latitude	Longitude	UTMX	UTMY	LLDatum
CB2.2	West Of Still Pond Near Buoy R-34; Middle Of Transition Zone; Mid-Channel		Chesapeake Bay-Oligohaline Region	MD	Kent	39.34873	-76.17579	398686	4356135	NAD83 
CB3.1	Southeast Of Gunpowder Neck Between Buoy 24a And 24b; Lower Limit Of Transition Zone; Mid-Channel		Chesapeake Bay-Oligohaline Region	MD	Kent	39.2495	-76.2405	392959	4345197	NAD83 
CB3.2	Northwest Of Swan Point Near Buoy R-10; Lower Estuarine Reach; Mid-Channel		Chesapeake Bay-Mesohaline Region	MD	Kent	39.16369	-76.30631	387143	4335754	NAD83 
CB3.3C	North Of Bay Bridge; Characterizes Mid-Channel		Chesapeake Bay-Mesohaline Region	MD	Queen Annes	38.99596	-76.35967	382254	4317207	NAD83 
CB4.1C	Southwest Of Kent Point; Characterizes Mid-Channel		Chesapeake Bay-Mesohaline Region	MD	Queen Annes	38.82593	-76.39945	378520	4298390	NAD83 
CB4.2C	Southwest Of Tilghman Island Near Buoy Cr; Characterizes Mid-Channel		Chesapeake Bay-Mesohaline Region	MD	Talbot	38.64618	-76.42127	376316	4278472	NAD83 
CB4.3C	East Of Dares Beach Near Buoy R-64; Characterizes Mid-Channel		Chesapeake Bay-Mesohaline Region	MD	Dorchester	38.55505	-76.42794	375578	4268368	NAD83 
CB4.4	Northeast Of Cove Point; Mid-Channel		Chesapeake Bay-Mesohaline Region	MD	Dorchester	38.41457	-76.34565	382521	4252671	NAD83 
CB5.1	East Of Cedar Point And Pr Buoy; Mid-Channel		Chesapeake Bay-Mesohaline Region	MD	Dorchester	38.3187	-76.29215	387043	4241966	NAD83 
CB5.2	East Of Point No Point; Mid-Channel		Chesapeake Bay-Mesohaline Region	MD	Dorchester	38.13705	-76.22787	392395	4221733	NAD83 
CB5.3	Northeast Of Smith Point At Virginia State Line; Mid-Channel; Overlap Station With Virginia		Chesapeake Bay-Mesohaline Region	VA	Accomack	37.91011	-76.17137	397029	4196488	NAD83 
CB5.4	(Tidal) Central Chesapeake Bay (Deep Main Channel)		Chesapeake Bay-Mesohaline Region	VA	Accomack	37.80013	-76.17466	396586	4184289	NAD83 
CB6.1	(Tidal) Lower West Central Chesapeake Bay (Main Channel Off Lower End Of The Rappahannock River)		Chesapeake Bay-Polyhaline Region	VA	Lancaster	37.58847	-76.16216	397396	4160791	NAD83 
CB6.2	(Tidal) Lower West Central Chesapeake Bay		Chesapeake Bay-Polyhaline Region	VA	Mathews	37.4868	-76.15633	397772	4149504	NAD83 
CB6.3	(Tidal) Lower West Central Chesapeake Bay (Wolftrap)		Chesapeake Bay-Polyhaline Region	VA	Mathews	37.41153	-76.15966	397374	4141157	NAD83 
CB6.4	(Tidal) Central Chesapeake Bay Offshore From Mouth Of York River		Chesapeake Bay-Polyhaline Region	VA	York	37.23653	-76.20799	392849	4121795	NAD83 
CB7.1	(Tidal) Lower East Central Chesapeake Bay (Eastern Shore Channel)		Chesapeake Bay-Polyhaline Region	VA	Accomack	37.68346	-75.98966	412737	4171155	NAD83 
CB7.2	(Tidal) Lower East Central Chesapeake Bay (Eastern Shore Channel)		Chesapeake Bay-Polyhaline Region	VA	Northampton	37.41153	-76.07966	404454	4141073	NAD83 
CB7.3	(Tidal) Mainstem York Spit Channel		Chesapeake Bay-Polyhaline Region	VA	Northampton	37.11681	-76.12521	400034	4108422	NAD83 
CB7.4	(Tidal) Baltimore Channel At The Bay Bridge/Tunnel		Chesapeake Bay-Polyhaline Region	VA	Virginia Beach City	36.9957	-76.02048	409195	4094881	NAD83 
