Sample_date,Sample_Time,DateTime, Station, Layer,SampleDepth_m,Salinity_ppt,pH,DO_mg/L,Turb_NTU,Chl_ug/L,BGA_RFU,Temp_C
6/1/2016,0:0:25,06/01/16 00:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.47,7.62,7.97,2.7,8.3,,23.77
6/1/2016,0:15:26,06/01/16 00:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.45,7.56,7.68,2.5,6.9,,23.69
6/1/2016,0:30:25,06/01/16 00:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.49,7.56,7.84,2.3,6.7,,23.55
6/1/2016,0:45:26,06/01/16 00:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.49,7.56,7.74,3.2,6.3,,23.67
6/1/2016,1:0:26,06/01/16 01:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.49,7.54,7.9,1.6,5.4,,23.39
6/1/2016,1:15:26,06/01/16 01:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.5,7.56,7.78,3.7,7.4,,23.6
6/1/2016,1:30:25,06/01/16 01:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.51,7.53,7.65,4,7.6,,23.54
6/1/2016,1:45:26,06/01/16 01:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.5,7.51,7.53,2.5,6.8,,23.49
6/1/2016,2:0:26,06/01/16 02:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.52,7.51,7.49,1.9,7.6,,23.4
6/1/2016,2:15:25,06/01/16 02:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.51,7.49,7.35,1.2,5.8,,23.32
6/1/2016,2:30:25,06/01/16 02:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.53,7.51,7.46,0.3,6.9,,23.2
6/1/2016,2:45:25,06/01/16 02:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.49,7.54,7.63,0.1,7.4,,23.3
6/1/2016,3:0:25,06/01/16 03:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.48,7.49,7.35,-0.1,6.6,,23.39
6/1/2016,3:15:25,06/01/16 03:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.53,7.54,7.64,-0.2,10.2,,23
6/1/2016,3:30:25,06/01/16 03:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.54,7.56,7.71,-0.4,9.8,,22.82
6/1/2016,3:45:26,06/01/16 03:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.5,7.55,7.74,0,10.1,,22.95
6/1/2016,4:0:25,06/01/16 04:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.39,7.67,8.31,-0.4,7.6,,22.34
6/1/2016,4:15:26,06/01/16 04:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.3,7.64,8.15,-0.7,5.6,,22.47
6/1/2016,4:30:26,06/01/16 04:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.29,7.62,8.09,-0.5,5.7,,22.37
6/1/2016,4:45:25,06/01/16 04:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.2,7.52,7.6,-0.7,4.4,,22.53
6/1/2016,5:0:25,06/01/16 05:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.13,7.48,7.35,-0.4,4.1,,22.57
6/1/2016,5:15:25,06/01/16 05:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.03,7.45,7.24,0.1,4.7,,22.59
6/1/2016,5:30:26,06/01/16 05:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.14,7.48,7.36,0.1,5.1,,22.55
6/1/2016,5:45:26,06/01/16 05:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.14,7.45,7.17,0.8,3.8,,22.6
6/1/2016,6:0:26,06/01/16 06:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.98,7.42,6.95,0,4.5,,22.63
6/1/2016,6:15:25,06/01/16 06:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.05,7.44,7.1,0,4.6,,22.62
6/1/2016,6:30:25,06/01/16 06:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.96,7.42,6.99,0.6,3.6,,22.64
6/1/2016,6:45:25,06/01/16 06:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.94,7.42,6.98,0.5,4.8,,22.63
6/1/2016,7:0:26,06/01/16 07:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.87,7.41,6.87,0.1,4.4,,22.67
6/1/2016,7:15:26,06/01/16 07:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.77,7.42,6.91,-0.1,3.9,,22.64
6/1/2016,7:30:26,06/01/16 07:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.66,7.42,6.92,0.1,5,,22.57
6/1/2016,7:45:26,06/01/16 07:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.58,7.43,6.96,-0.1,5.3,,22.51
6/1/2016,8:0:25,06/01/16 08:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.57,7.43,7,-0.2,5.8,,22.51
6/1/2016,8:15:25,06/01/16 08:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.69,7.43,6.98,0.9,6,,22.95
6/1/2016,8:30:26,06/01/16 08:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.98,7.43,6.94,1,6.1,,23.34
