Station, StationDesc, DateTime, Sample_Date, Sample_Time, RoundedDepth_m,Salinity_ppt,Temp_C,DO_mgL,pH,Turbidity_ntu,Chl_ugL
XFG4618, Harris Creek MD DNR Profiler, 2016-06-01 00:02:00.0, 06/01/2016, 00:02:00,2,12.51,25.71,7.32,7.81,4.4, 9
XFG4618, Harris Creek MD DNR Profiler, 2016-06-01 00:03:00.0, 06/01/2016, 00:03:00,1.5,12.51,25.7,7.33,7.8,4.1, 8.9
XFG4618, Harris Creek MD DNR Profiler, 2016-06-01 00:05:00.0, 06/01/2016, 00:05:00,1,12.51,25.71,7.31,7.8,4.4, 9
XFG4618, Harris Creek MD DNR Profiler, 2016-06-01 00:07:00.0, 06/01/2016, 00:07:00,0.5,12.51,25.72,7.32,7.8,4.2, 8.7
XFG4618, Harris Creek MD DNR Profiler, 2016-06-01 01:02:00.0, 06/01/2016, 01:02:00,2,12.5,25.69,7.21,7.8,3.8, 7.1
XFG4618, Harris Creek MD DNR Profiler, 2016-06-01 01:03:00.0, 06/01/2016, 01:03:00,1.5,12.5,25.67,7.48,7.82,4.1, 9.3
XFG4618, Harris Creek MD DNR Profiler, 2016-06-01 01:05:00.0, 06/01/2016, 01:05:00,1,12.5,25.67,7.53,7.83,4, 8.9
XFG4618, Harris Creek MD DNR Profiler, 2016-06-01 01:07:00.0, 06/01/2016, 01:07:00,0.5,12.5,25.67,7.5,7.83,4.2, 8.9
XFG4618, Harris Creek MD DNR Profiler, 2016-06-01 02:02:00.0, 06/01/2016, 02:02:00,2,12.46,25.41,7.32,7.84,4.1, 8.7
XFG4618, Harris Creek MD DNR Profiler, 2016-06-01 02:03:00.0, 06/01/2016, 02:03:00,1.5,12.45,25.41,7.49,7.86,3.8, 10.7
XFG4618, Harris Creek MD DNR Profiler, 2016-06-01 02:05:00.0, 06/01/2016, 02:05:00,1,12.43,25.55,7.71,7.9,3.5, 9.2
XFG4618, Harris Creek MD DNR Profiler, 2016-06-01 02:07:00.0, 06/01/2016, 02:07:00,0.5,12.43,25.54,7.71,7.9,3.4, 10
XFG4618, Harris Creek MD DNR Profiler, 2016-06-01 03:02:00.0, 06/01/2016, 03:02:00,2,12.45,25.33,7.42,7.86,4.4, 5.7
XFG4618, Harris Creek MD DNR Profiler, 2016-06-01 03:03:00.0, 06/01/2016, 03:03:00,1.5,12.44,25.37,7.62,7.88,3.8, 8.9
XFG4618, Harris Creek MD DNR Profiler, 2016-06-01 03:05:00.0, 06/01/2016, 03:05:00,1,12.44,25.37,7.65,7.89,3.6, 8.1
XFG4618, Harris Creek MD DNR Profiler, 2016-06-01 03:07:00.0, 06/01/2016, 03:07:00,0.5,12.4,25.35,7.7,7.9,3.5, 8.1
XFG4618, Harris Creek MD DNR Profiler, 2016-06-01 04:02:00.0, 06/01/2016, 04:02:00,2,12.38,25.3,7.13,7.82,4.1, 7.3
XFG4618, Harris Creek MD DNR Profiler, 2016-06-01 04:03:00.0, 06/01/2016, 04:03:00,1.5,12.38,25.29,7.23,7.82,4.1, 7.2
XFG4618, Harris Creek MD DNR Profiler, 2016-06-01 04:05:00.0, 06/01/2016, 04:05:00,1,12.38,25.33,7.32,7.84,3.8, 9.4
XFG4618, Harris Creek MD DNR Profiler, 2016-06-01 04:07:00.0, 06/01/2016, 04:07:00,0.5,12.38,25.32,7.31,7.83,4.2, 8.5
XFG4618, Harris Creek MD DNR Profiler, 2016-06-01 05:02:00.0, 06/01/2016, 05:02:00,2,12.36,25.25,7,7.79,4, 8
