MonitoringStation	EventId	Cruise	Program	Project	Agency	Source	Station	SampleDate	SampleTime	TotalDepth	UpperPycnocline	LowerPycnocline	Depth	Layer	SampleType	SampleReplicateType	Parameter	Qualifier	MeasureValue	Unit	Method	Lab	Problem	PrecisionPC	BiasPC	Details	Latitude	Longitude
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	0.5	S 	D	FS1	CHLA		7.476	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	0.5	S 	D	FS2	CHLA		7.476	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	3	AP	D	S1	CHLA		6.942	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	11	B 	D	S1	CHLA		4.539	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	6	BP	D	S1	CHLA		4.539	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	0.5	S 	D	FS1	CHLA		26.486	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	0.5	S 	D	FS2	CHLA		25.418	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	4	AP	D	S1	CHLA		8.971	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	11	B 	D	S1	CHLA		6.622	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	7	BP	D	S1	CHLA		5.981	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/16	10:03:00	12	2.5	2.5	0.5	S 	D	FS1	CHLA		7.903	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/16	10:03:00	12	2.5	2.5	0.5	S 	D	FS2	CHLA		8.117	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/16	10:03:00	12	2.5	2.5	1	AP	D	S1	CHLA		7.903	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/16	10:03:00	12	2.5	2.5	11	B 	D	S1	CHLA		4.913	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/16	10:03:00	12	2.5	2.5	4	BP	D	S1	CHLA		4.486	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/16	10:06:00	12.5	0.7	5.5	0.5	S 	D	FS1	CHLA		4.699	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/16	10:06:00	12.5	0.7	5.5	0.5	S 	D	FS2	CHLA		5.126	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/16	10:06:00	12.5	0.7	5.5	0.5	AP	D	S1	CHLA		5.126	UG/L	L01 	CBL					39.34873	-76.17579
